song_id	recommender_id	song_artist	song_title	year	youtube_link
1	1	Anzenchitai	I Love You Kara Hajimeyou	1988	https://www.youtube.com/watch?v=s17H-b4vtyY&list=RDs17H-b4vtyY&start_radio=1
2	1	Aimyon	rhythm 64	2024	https://www.youtube.com/watch?v=C_E2kLO4Zag&list=RDC_E2kLO4Zag&start_radio=1
3	1	Rod Stewart	Downtown train	1989	https://www.youtube.com/watch?v=GysKYRYnui8&list=RDGysKYRYnui8&start_radio=1
4	1	Yanzi Sun	克卜勒	2014	https://www.youtube.com/watch?v=ppvqjPkQ0BY&list=RDppvqjPkQ0BY&start_radio=1
5	1	Koji Tamaki	Melody	1996	https://www.youtube.com/watch?v=fkBwXH6JLmA&list=RDfkBwXH6JLmA&start_radio=1
6	2	Starset	It Has Begun	2014	https://www.youtube.com/watch?v=XZp3Mtn-YsI&list=RDXZp3Mtn-YsI&start_radio=1
7	2	The Fray	How to Save a Life	2005	https://www.youtube.com/watch?v=cjVQ36NhbMk&list=RDcjVQ36NhbMk&start_radio=1
8	2	Mumford and Sons	Little Lion Man	2009	https://www.youtube.com/watch?v=5qDusitZ9EU&list=RD5qDusitZ9EU&start_radio=1
9	2	Poor Man's Poison	Providence	2014	https://www.youtube.com/watch?v=UWnE9sCJEgw&list=RDUWnE9sCJEgw&start_radio=1
10	3	Half Alive	Automatic	2024	https://www.youtube.com/watch?v=LMknL58AAyY&list=RDLMknL58AAyY&start_radio=1
11	3	Francis and the Lights	See her out	2016	https://www.youtube.com/watch?v=4Cc1R1QSPuE&list=RD4Cc1R1QSPuE&start_radio=1
12	3	Holly Humberstone	Scarlett	2021	https://www.youtube.com/watch?v=982QP-10GcE&list=RD982QP-10GcE&start_radio=1
13	3	Fly by Midnight	Try	2024	https://www.youtube.com/watch?v=023znG53q_I&list=RD023znG53q_I&start_radio=1
14	3	Bleachers	I wanna get better	2014	https://www.youtube.com/watch?v=8twpQTna_9w&list=RD8twpQTna_9w&start_radio=1
15	4	The National	Fake Empire	2007	https://www.youtube.com/watch?v=8WRWno_c_W8&list=RD8WRWno_c_W8&start_radio=1
16	4	Hermanos Gutierrez	La Verdad	2022	https://www.youtube.com/watch?v=oMk4fVjrfwc&list=RDoMk4fVjrfwc&start_radio=1
17	4	The Who	Baba O'riley	1971	https://www.youtube.com/watch?v=x2KRpRMSu4g&list=RDx2KRpRMSu4g&start_radio=1
18	4	Sylvan Esso	Coffee	2014	https://www.youtube.com/watch?v=pUrQ0qka1JY&list=RDpUrQ0qka1JY&start_radio=1
19	4	Rogue Valley	The Wolves and the Ravens	2011	https://www.youtube.com/watch?v=wXi1_AcT2YI&list=RDwXi1_AcT2YI&start_radio=1
20	5	Sir Chloe	Holy	2025	https://www.youtube.com/watch?v=efh79dx_e90&list=RDefh79dx_e90&start_radio=1
21	5	Push Ups	Doberman	2023	https://www.youtube.com/watch?v=EAju-Bg9kMM&list=RDEAju-Bg9kMM&start_radio=1
22	5	El Mató a un Policia Motorizado	Fuego	2017	https://www.youtube.com/watch?v=kn32hxE7pCw
23	5	El Otro Grupo	Fragmento	2020	https://www.youtube.com/watch?v=-8zgTc7Vh0w&list=RD-8zgTc7Vh0w&start_radio=1
24	6	Green Day	Basket Case	1994	https://www.youtube.com/watch?v=VKjEdYrx9P0&list=RDVKjEdYrx9P0&start_radio=1
25	6	Billy Joel	Piano Man	1973	https://www.youtube.com/watch?v=gxEPV4kolz0&list=RDgxEPV4kolz0&start_radio=1
26	6	Imagine Dragons & JID	Enemy	2021	https://www.youtube.com/watch?v=D9G1VOjN_84&list=RDD9G1VOjN_84&start_radio=1
27	6	Coldplay	 Viva la Vida	2008	https://www.youtube.com/watch?v=dvgZkm1xWPE&list=RDdvgZkm1xWPE&start_radio=1
28	6	Noah Kahan	Dial Drunk	2023	https://www.youtube.com/watch?v=m9Kev73C2cc&list=RDm9Kev73C2cc&start_radio=1
29	7	Cali Swag District	Teach Me How to Dougie	2010	https://www.youtube.com/watch?v=PIHtUxnRN0c&list=RDPIHtUxnRN0c&start_radio=1
30	7	Alex Warren	Ordinary	2025	https://www.youtube.com/watch?v=u2ah9tWTkmk&list=RDu2ah9tWTkmk&start_radio=1
31	7	Disney & Shakira	Zoo (From "Zootopia 2")	2025	https://www.youtube.com/watch?v=Xry6B0I3pT8&list=RDXry6B0I3pT8&start_radio=1
32	7	Y.U	月之非主流	2020	https://www.youtube.com/watch?v=3qfSSaG0vIM&list=RD3qfSSaG0vIM&start_radio=1
33	7	mj apanay	make up your mind	2023	https://www.youtube.com/watch?v=hhiqpsNhWwA
34	7	驴儿	亮片	2024	https://www.youtube.com/watch?v=8gN9guYzX5s&list=RD8gN9guYzX5s&start_radio=1
